scope,total_rows,matched_rows,matched_percent,source_url
messages,62214,6226,10.01,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md
threads,24075,3314,13.77,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md
